نوع البطوله,الفريق الاول,الفريق التاني,ميعاد المباراه,النتيجه
الدوري الفرنسي,رين,مونبيليه,18:00,2 - 1
الدوري الفرنسي,نانت,لانس,22:00,0 - 1
